Date,Daily Temp High (F),Lauren (Hole-in-Ones),Alex (Hole-in-Ones),Chris (Hole-in-Ones),Athena (Hole-in-Ones),Dalton (Hole-in-Ones),"Rain (0=No, 1=Yes)"
2025-05-17,89,2,2,2,3,0,1
2025-05-18,86,2,1,1,0,3,1
2025-05-20,79,2,2,2,0,3,1
2025-05-21,73,0,2,3,3,3,0
2025-05-21,80,2,2,0,2,0,0
2025-05-24,91,0,2,1,0,0,1
2025-05-26,72,2,1,2,3,3,0
2025-05-26,72,3,1,1,3,1,0
2025-05-26,80,1,1,2,3,3,1
2025-05-28,97,0,3,3,0,0,1
2025-05-31,73,2,1,3,3,1,0
2025-05-31,91,1,2,2,2,0,0
2025-06-01,87,2,3,0,1,1,1
2025-06-02,85,1,3,2,3,2,0
2025-06-03,78,1,3,2,1,1,0
2025-06-03,77,2,3,1,0,0,1
2025-06-04,80,0,3,0,2,3,1
2025-06-07,78,1,2,3,3,0,1
2025-06-08,83,2,2,0,0,3,1
2025-06-09,95,0,0,0,3,2,1
2025-06-09,80,2,1,0,0,1,0
2025-06-11,88,1,2,3,1,2,0
2025-06-12,85,2,1,3,2,3,1
2025-06-12,97,1,2,3,3,2,0
2025-06-14,74,3,2,2,2,3,1
2025-06-14,93,3,3,0,3,1,0
2025-06-15,79,0,3,1,3,1,0
2025-06-16,87,0,2,0,0,1,0
2025-06-17,80,3,2,3,2,1,0
2025-06-20,89,1,1,2,3,0,0
2025-06-21,90,0,0,3,2,0,0
2025-06-22,83,2,1,0,3,1,0
2025-06-22,96,1,1,3,0,1,0
2025-06-25,89,1,1,3,3,0,0
2025-06-26,91,3,2,2,2,2,0
2025-06-28,88,2,1,2,2,0,0
2025-06-28,89,3,3,0,1,2,0
2025-06-28,87,1,0,3,3,3,0
2025-06-29,77,0,3,1,2,1,0
2025-07-01,72,3,1,0,0,0,0
2025-07-02,98,0,3,3,2,3,1
2025-07-02,98,1,0,2,1,1,1
2025-07-02,81,3,1,0,1,0,1
2025-07-03,97,3,2,2,0,0,0
2025-07-03,99,2,0,3,2,2,0
2025-07-04,87,1,1,1,0,2,1
2025-07-04,94,3,3,2,3,1,1
2025-07-05,98,2,3,3,3,1,0
2025-07-05,75,1,3,3,1,1,1
2025-07-06,91,0,0,1,3,1,0
2025-07-06,80,3,1,2,3,3,1
2025-07-09,83,0,2,1,3,3,0
2025-07-10,90,1,2,3,0,1,0
2025-07-10,89,0,0,3,0,0,1
2025-07-10,71,3,2,0,3,1,0
2025-07-11,71,3,0,1,3,3,0
2025-07-12,99,0,2,1,3,1,0
2025-07-13,89,2,3,0,0,1,0
2025-07-13,84,1,3,2,1,0,0
2025-07-14,70,1,2,2,3,2,1
2025-07-14,81,2,3,2,3,0,0
2025-07-15,88,0,3,0,2,0,1
2025-07-15,83,1,0,2,0,3,1
2025-07-16,87,1,0,1,0,0,1
2025-07-18,82,2,1,2,1,2,1
2025-07-18,85,1,1,1,3,1,0
2025-07-18,78,1,3,1,0,0,0
2025-07-19,80,0,2,3,1,1,0
2025-07-19,87,3,0,2,3,1,0
2025-07-19,77,3,2,3,1,1,1
2025-07-19,73,1,3,1,1,0,0
2025-07-20,93,3,0,1,0,3,0
2025-07-20,92,3,1,3,3,1,0
2025-07-20,95,2,3,2,0,3,1
2025-07-21,93,2,0,3,1,0,0
2025-07-22,87,2,0,1,3,0,0
2025-07-23,95,0,2,0,0,2,1
2025-07-23,92,2,0,1,0,3,0
2025-07-24,98,3,0,0,2,2,0
2025-07-24,79,1,2,2,3,0,1
2025-07-26,86,0,3,1,0,3,0
2025-07-26,74,3,2,1,1,0,0
2025-07-28,86,0,2,0,1,1,0
2025-07-29,73,2,3,3,1,3,0
2025-07-30,89,2,2,0,1,3,0
2025-07-30,78,0,0,0,1,0,0
2025-07-30,74,3,0,1,0,2,1
2025-07-30,81,1,2,3,2,1,1
2025-07-31,99,2,3,3,2,2,1
